2022-02-22 23:04:07.108 [main] INFO  by.mishastoma.customarray.service.CustomArraySortImpl - Bubble sort finished. Sorted array is: [-7, 0, 3, 4, 5, 5, 7, 8, 10, 11]
2022-02-22 23:05:07.712 [main] INFO  App - Message
2022-02-22 23:05:07.716 [main] INFO  by.mishastoma.customarray.service.CustomArraySortImpl - Gnome sort finished. Sorted array is:[-7, 0, 3, 4, 5, 5, 7, 8, 10, 11]
2022-02-22 23:05:07.716 [main] INFO  by.mishastoma.customarray.service.CustomArraySortImpl - Bubble sort finished. Sorted array is: [-7, 0, 3, 4, 5, 5, 7, 8, 10, 11]
2022-02-22 23:09:37.714 [main] INFO  App - Message
2022-02-22 23:09:37.717 [main] INFO  by.mishastoma.customarray.service.CustomArraySortImpl - Gnome sort finished. Sorted array is: [-7, 0, 3, 4, 5, 5, 7, 8, 10, 11]
2022-02-22 23:09:37.717 [main] INFO  by.mishastoma.customarray.service.CustomArraySortImpl - Bubble sort finished. Sorted array is: [-7, 0, 3, 4, 5, 5, 7, 8, 10, 11]
2022-02-22 23:10:53.377 [main] INFO  App - Message
2022-02-22 23:10:53.381 [main] INFO  by.mishastoma.customarray.service.CustomArraySortImpl - Gnome sort finished. Sorted array is: [-7, 0, 3, 4, 5, 5, 7, 8, 10, 11]
2022-02-22 23:10:53.381 [main] INFO  by.mishastoma.customarray.service.CustomArraySortImpl - Bubble sort finished. Sorted array is: [-7, 0, 3, 4, 5, 5, 7, 8, 10, 11]
2022-02-22 23:10:53.382 [main] INFO  by.mishastoma.customarray.service.CustomArrayServiceImpl - Sum of elements: 46
2022-02-22 23:10:53.385 [main] INFO  by.mishastoma.customarray.service.CustomArrayServiceImpl - Average: 4,600000
2022-02-22 23:12:39.691 [main] INFO  App - Message
2022-02-22 23:12:39.694 [main] INFO  by.mishastoma.customarray.service.CustomArraySortImpl - Gnome sort finished. Sorted array is: [-7, 0, 3, 4, 5, 5, 7, 8, 10, 11]
2022-02-22 23:12:39.694 [main] INFO  by.mishastoma.customarray.service.CustomArraySortImpl - Bubble sort finished. Sorted array is: [-7, 0, 3, 4, 5, 5, 7, 8, 10, 11]
2022-02-22 23:13:35.877 [main] INFO  App - Message
2022-02-22 23:13:35.879 [main] INFO  by.mishastoma.customarray.service.CustomArraySortImpl - Gnome sort finished. Sorted array is: [-7, 0, 3, 4, 5, 5, 7, 8, 10, 11]
2022-02-22 23:13:35.880 [main] INFO  by.mishastoma.customarray.service.CustomArraySortImpl - Bubble sort finished. Sorted array is: [-7, 0, 3, 4, 5, 5, 7, 8, 10, 11]
2022-02-22 23:13:35.880 [main] INFO  by.mishastoma.customarray.service.CustomArraySortImpl - Selection sort finished. Sorted array is: [-7, 0, 3, 4, 5, 5, 7, 8, 10, 11]
2022-02-22 23:13:35.880 [main] INFO  by.mishastoma.customarray.service.CustomArrayServiceImpl - Sum of elements: 46
2022-02-22 23:13:35.883 [main] INFO  by.mishastoma.customarray.service.CustomArrayServiceImpl - Average: 4,600000
2022-02-22 23:14:51.340 [main] INFO  App - Message
2022-02-22 23:14:51.343 [main] INFO  by.mishastoma.customarray.service.CustomArraySortImpl - Gnome sort finished. Sorted array is: [-7, 0, 3, 4, 5, 5, 7, 8, 10, 11]
2022-02-22 23:14:51.344 [main] INFO  by.mishastoma.customarray.service.CustomArraySortImpl - Bubble sort finished. Sorted array is: [-7, 0, 3, 4, 5, 5, 7, 8, 10, 11]
2022-02-22 23:14:51.344 [main] INFO  by.mishastoma.customarray.service.CustomArraySortImpl - Selection sort finished. Sorted array is: [-7, 0, 3, 4, 5, 5, 7, 8, 10, 11]
2022-02-22 23:14:51.345 [main] INFO  by.mishastoma.customarray.service.CustomArrayServiceImpl - Sum of elements: 46
2022-02-22 23:14:51.349 [main] INFO  by.mishastoma.customarray.service.CustomArrayServiceImpl - Average: 4,600000
